munid,municipality_name,tier
38031,POINT EDWARD TP,lower_single
26011,PORT COLBORNE C,lower_single
14022,PORT HOPE M,lower_single
49058,POWASSAN M,lower_single
7008,PRESCOTT TP,lower_single
13002,PRINCE EDWARD,lower_single
57066,PRINCE TP,lower_single
23001,PUSLINCH TP,lower_single
12010,QUINTE WEST C,lower_single
59042,RAINY RIVER TP,lower_single
43050,RAMARA TP,lower_single
60040,RED LAKE M,lower_single
58041,RED ROCK TP,lower_single
47048,RENFREW TP,lower_single
19038,RICHMOND HILL C,lower_single
7030,RIDEAU LAKES TP,lower_single
2048,RUSSELL TP,lower_single
49024,RYERSON TP,lower_single
52019,SABLES SPANISH RIVERS TP,lower_single
38030,SARNIA C,lower_single
41043,SAUGEEN SHORES TP,lower_single
57061,SAULT STE MARIE C,lower_single
58051,SCHREIBER TP,lower_single
18020,SCUGOG TP,lower_single
49003,SEGUIN TP,lower_single
