munid,municipality_name,tier
16002,KAWARTHA LAKES C,lower_single
49018,KEARNEY TP,lower_single
60011,KENORA C,lower_single
54024,KERNS TP,lower_single
47030,KILLALOE HAGARTY AND RICHARDS TP,lower_single
52003,KILLARNEY M,lower_single
41020,KINCARDINE M,lower_single
19049,KING TP,lower_single
10005,KINGSTON C,lower_single
37008,KINGSVILLE TP,lower_single
54068,KIRKLAND LAKE TP,lower_single
30012,KITCHENER C,lower_single
59016,LA VALLEE TP,lower_single
57011,LAIRD TP,lower_single
44027,LAKE OF BAYS TP,lower_single
59045,LAKE OF THE WOODS TP,lower_single
37049,LAKESHORE M,lower_single
38037,LAMBTON SHORES M,lower_single
9033,LANARK HIGHLANDS TP,lower_single
54062,LARDER LAKE TP,lower_single
37034,LASALLE TP,lower_single
54006,LATCHFORD TP,lower_single
47091,LAURENTIAN HILLS TP,lower_single
47063,LAURENTIAN VALLEY TP,lower_single
37003,LEAMINGTON M,lower_single
