munid,municipality_name,tier
43042,BARRIE C,lower_single
34003,BAYHAM M,lower_single
9024,BECKWITH TP,lower_single
12005,BELLEVILLE C,lower_single
51021,BILLINGS TP,lower_single
56014,BLACK RIVER MATHESON TP,lower_single
32045,BLANDFORD BLENHEIM TP,lower_single
57038,BLIND RIVER T,lower_single
40010,BLUEWATER M,lower_single
48026,BONFIELD TP,lower_single
47015,BONNECHERE VALLEY TP,lower_single
44018,BRACEBRIDGE TP,lower_single
43013,BRADFORD WEST GWILLIMBURY TP,lower_single
21010,BRAMPTON C,lower_single
29002,BRANT,lower_single
29006,BRANTFORD C,lower_single
54032,BRETHOUR TP,lower_single
14005,BRIGHTON M,lower_single
18039,BROCK TP,lower_single
41030,BROCKTON M,lower_single
7015,BROCKVILLE C,lower_single
38011,BROOKE ALVINSTON M,lower_single
57021,BRUCE MINES T,lower_single
47018,BRUDENELL LYNDOCH AND RAGLAN TP,lower_single
49022,BURK TMS FALLS TP,lower_single
