munid,signal_type,meeting_date,discovered_date,topic,trigger_keyword,snippet,evidence_url,confidence,review_status
AJAX TP,scanner_hit,2026-01-30,2026-01-30,Potential DC Mention,Community Benefits Charge,"<!DOCTYPE html>  <html lang=""en""> <head>     <!-- Google Tag Manager -->     <script>         (function (w, d, s, l, i) {             w[l] = w[l] || []; w[l].push({                 'gtm.start':                     new Date().getTime(), event: 'gtm.js'             }); var f = d.getElementsB...",https://events.ajax.ca/Meetings/Detail/2025-09-15-1300-Council-Meeting,0.8,needs_review
CHATHAM KENT M,scanner_hit,2026-01-30,2026-01-30,Potential DC Mention,Bill 185,"<!DOCTYPE html>     <html lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	Combined Council Meeting - May 27, 2024 </title><script src=""/bundles/modernizr?...",https://pub-chatham-kent.escribemeetings.com/Meeting.aspx?Id=83633a45-4153-4ff4-a28d-d5a6014c5f63&Agenda=Agenda&lang=English,0.8,needs_review
GEORGIAN BAY TP,scanner_hit,2026-01-30,2026-01-30,Potential DC Mention,Development Charges Background Study,"Township of Georgian Bay Agenda Council 9:00 AM - Monday, October 6, 2025 99 Lone Pine Road, Port Severn Ontario PLEASE NOTE: This Council meeting of Monday, October 6, 2025 is available for public viewing via the Township of Georgian Bay’s YouTube Channel. There may be a few minute delay for the li...",https://georgianbay.civicweb.net/document/238947,0.8,needs_review
MARKHAM C,scanner_hit,2026-01-30,2026-01-30,Potential DC Mention,Development Charges Public Meeting,"<!DOCTYPE html>   <html id=""masterPageHeader"" xmlns=""http://www.w3.org/1999/xhtml"" lang=""en"" xml:lang=""en""> <head><meta charset=""utf-8"" /><meta http-equiv=""X-UA-Compatible"" content=""IE=edge;chrome=1"" /><meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" /><title> 	eSCRIBE Publ...",https://pub-markham.escribemeetings.com/,0.8,needs_review
LANARK,scanner_hit,2026-01-30,2026-01-30,Potential DC Mention,Development Charges Public Meeting,"  <!DOCTYPE html> <html id=""ctl00_HtmlTag"" prefix=""fb: http://www.facebook.com/2008/fbml"" lang=""en-CA"" xml:lang=""en-CA""> <head id=""ctl00_PageHead""><link href=""//code.jquery.com/ui/1.13.3/themes/smoothness/jquery-ui.css"" rel=""stylesheet""/> <title> 	Lanark County - Meeting Information </title><...",https://lanarkcounty.civicweb.net/Portal/MeetingInformation.aspx?Id=2000,0.8,needs_review
