munid,municipality_name,tier
41010,HURON KINLOSS TP,lower_single
57023,HURON SHORES M,lower_single
60001,IGNACE TP,lower_single
32018,INGERSOLL TP,lower_single
43017,INNISFIL TP,lower_single
56031,IROQUOIS FALLS TP,lower_single
54042,JAMES TP,lower_single
57001,JOCELYN TP,lower_single
57016,JOHNSON TP,lower_single
49051,JOLY TP,lower_single
56066,KAPUSKASING TP,lower_single
16002,KAWARTHA LAKES C,lower_single
49018,KEARNEY TP,lower_single
60011,KENORA C,lower_single
54024,KERNS TP,lower_single
47030,KILLALOE HAGARTY AND RICHARDS TP,lower_single
52003,KILLARNEY M,lower_single
41020,KINCARDINE M,lower_single
19049,KING TP,lower_single
10005,KINGSTON C,lower_single
37008,KINGSVILLE TP,lower_single
54068,KIRKLAND LAKE TP,lower_single
30012,KITCHENER C,lower_single
59016,LA VALLEE TP,lower_single
57011,LAIRD TP,lower_single
44027,LAKE OF BAYS TP,lower_single
59045,LAKE OF THE WOODS TP,lower_single
37049,LAKESHORE M,lower_single
38037,LAMBTON SHORES M,lower_single
9033,LANARK HIGHLANDS TP,lower_single
54062,LARDER LAKE TP,lower_single
37034,LASALLE TP,lower_single
54006,LATCHFORD TP,lower_single
47091,LAURENTIAN HILLS TP,lower_single
47063,LAURENTIAN VALLEY TP,lower_single
37003,LEAMINGTON M,lower_single
7019,LEEDS AND THE THOUSAND ISLANDS TP,lower_single
12051,LIMERICK TP,lower_single
26057,LINCOLN TP,lower_single
39036,LONDON C,lower_single
11002,LOYALIST TP,lower_single
39057,LUCAN BIDDULPH TP,lower_single
57051,MACDONALD MEREDITH AND ABERDEEN ADDL TP,lower_single
49054,MACHAR TP,lower_single
60021,MACHIN M,lower_single
47023,MADAWASKA VALLEY TP,lower_single
12036,MADOC TP,lower_single
49041,MAGNETAWAN M,lower_single
34007,MALAHIDE TP,lower_single
58066,MANITOUWADGE TP,lower_single
23023,MAPLETON TP,lower_single
58059,MARATHON TP,lower_single
19036,MARKHAM C,lower_single
52007,MARKSTAY WARREN M,lower_single
12039,MARMORA AND LAKE M,lower_single
54056,MATACHEWAN TP,lower_single
48021,MATTAWA TP,lower_single
48019,MATTAWAN M,lower_single
56077,MATTICE VAL C T TP,lower_single
49031,MCDOUGALL TP,lower_single
54058,MCGARRY TP,lower_single
49028,MCKELLAR TP,lower_single
49012,MCMURRICH MONTEITH TP,lower_single
47003,MCNAB BRAESIDE TP,lower_single
42047,MEAFORD M,lower_single
22019,MELANCTHON TP,lower_single
7050,MERRICKVILLE WOLFORD TP,lower_single
39020,MIDDLESEX CENTRE M,lower_single
43074,MIDLAND TP,lower_single
24009,MILTON TP,lower_single
