munid,name,scan_date,status,error,target_url
BURK TMS FALLS TP,BURK TMS FALLS,2026-04-27,scanned_pdf,,https://irp.cdn-website.com/55929d1f/files/uploaded/05-2025_Rules_Proceedings_of_Council.pdf
BURLINGTON C,BURLINGTON C,2026-04-27,scanned_html,,https://burlingtonpublishing.escribemeetings.com/Meeting.aspx?Id=5623816a-75a4-4ec3-9188-5e8ad474cc19&Agenda=Merged&lang=English
BURPEE AND MILLS TP,BURPEE AND MILLS TP,2026-04-27,scanned_pdf,,https://www.burpeemills.com/app/download/13290954587/summer+student+ad.pdf?t=1776956372
CALEDON TP,CALEDON TP,2026-04-27,scanned_html,,https://pub-caledon.escribemeetings.com/Meeting.aspx?Id=3d70f5a0-595f-47ea-836c-551271f6b69a&Agenda=Agenda&lang=English
CALLANDER M,CALLANDER M,2026-04-27,scanned_pdf,,https://callander.civicweb.net/FileStorage/F363E7E1EE3D44B5980FF98388DD6080-FoodCycler%20Municipal%20Solutions_2025.pdf
CALVIN M,CALVIN M,2026-04-27,scanned_pdf,,https://calvintownship.ca/uploads/November%2025%20Approved%20Minutes.pdf
CAMBRIDGE C,CAMBRIDGE C,2026-04-27,scanned_html,,https://pub-cambridge.escribemeetings.com/
CARLETON PLACE TP,CARLETON PLACE TP,2026-04-27,scanned_pdf,,https://pub-carletonplace.escribemeetings.com:443/FileStream.ashx?DocumentId=16725
CARLING TP,CARLING TP,2026-04-27,error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",https://carling.ca/municipal-information/info-about-carling-council/agenda-and-minutes/
CARLOW MAYO TP,CARLOW MAYO TP,2026-04-27,scanned_html,,https://carlowmayo.civicweb.net/Portal/
CASEY TP,CASEY TP,2026-04-27,scanned_pdf,,https://casey.ca/wp-content/uploads/2025/09/Casey-AMP-Report-9.11.2025-FINAL.pdf
CASSELMAN M,CASSELMAN M,2026-04-27,scanned_pdf,,https://pub-casselman.escribemeetings.com/FileStream.ashx?DocumentId=1112
CAVAN MONAGHAN TP,CAVAN MONAGHAN TP,2026-04-27,scanned_html,,https://pub-cavanmonaghan.escribemeetings.com/Meeting.aspx?Id=4e0daf3e-ad7e-4e74-b0d9-07bf567f2e12&Agenda=Agenda&lang=English
CENTER WELLINGTON TP,CENTER WELLINGTON TP,2026-04-27,scanned_html,,https://zhidao.baidu.com/question/2086069024744583708.html
CENTRAL ELGIN M,CENTRAL ELGIN M,2026-04-27,scanned_html,,https://centralelgin.civicweb.net/filepro/documents/134005?handle=325B4562D4D74780AAA7C172A052169D
CENTRAL FRONTENAC TP,CENTRAL FRONTENAC TP,2026-04-27,no_url_in_registry,,
CENTRAL HURON M,CENTRAL HURON M,2026-04-27,scanned_html,,https://centralhuron.civicweb.net/Portal/
CENTRAL MANITOULIN M,CENTRAL MANITOULIN M,2026-04-27,scanned_pdf,,https://www.centralmanitoulin.ca/media/xirlffaq/council_agenda_2023_09_18.pdf
CENTRE HASTINGS M,CENTRE HASTINGS M,2026-04-27,error,"HTTPSConnectionPool(host='stclair.civicweb.net', port=443): Max retries exceeded with url: /Portal/ (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001B2A47F3A50>: Failed to resolve 'stclair.civicweb.net' ([Errno 11001] getaddrinfo failed)""))",https://stclair.civicweb.net/Portal/
CHAMBERLAIN TP,CHAMBERLAIN TP,2026-04-27,scanned_html,,https://www.chamberlain.com/ca
CHAMPLAIN TP,CHAMPLAIN TP,2026-04-27,scanned_pdf,,https://pub-champlain.escribemeetings.com/FileStream.ashx?DocumentId=13673
CHAPLEAU TP,CHAPLEAU TP,2026-04-27,scanned_html,,https://www.chapleau.ca/township/administration/council-agenda-minutes/
CHAPPLE TP,CHAPPLE TP,2026-04-27,scanned_html,,https://chapple.civicweb.net/Portal/
CHARLTON AND DACK M,CHARLTON AND DACK M,2026-04-27,scanned_pdf,,https://cdn.charltonafc.com/sites/default/files/2026-03/2026%3A27%20Season%20Ticket%20FAQs.pdf
CHATHAM KENT M,CHATHAM KENT M,2026-04-27,scanned_html,,https://pub-chatham-kent.escribemeetings.com/Meeting.aspx?Id=83633a45-4153-4ff4-a28d-d5a6014c5f63&Agenda=Agenda&lang=English
CHATSWORTH TP,CHATSWORTH TP,2026-04-27,scanned_pdf,,https://chatsworth.ca/wp-content/uploads/2025/08/16-May-3-2023-1.pdf
CHISHOLM TP,CHISHOLM TP,2026-04-27,scanned_pdf,,"https://www.chisholm.ca/uploads/documents/Elections/Agenda Package April 8, 2026.pdf"
CLARENCE ROCKLAND C,CLARENCE ROCKLAND C,2026-04-27,scanned_html,,https://clarencerockland.civicweb.net/Portal/
CLARINGTON M,CLARINGTON M,2026-04-27,scanned_pdf,,https://pub-clarington.escribemeetings.com/FileStream.ashx?DocumentId=62205
CLEARVIEW TP,CLEARVIEW TP,2026-04-27,scanned_pdf,,https://www.clearview.ca/file/2025-11-24-council-meeting-minutespdf-0
COBALT TP,COBALT TP,2026-04-27,scanned_pdf,,https://cobalt.ca/wp-content/uploads/2026/04/3.1-Agenda-Special-Meeting-April-15-2026.pdf
COBOURG TP,COBOURG TP,2026-04-27,scanned_pdf,,https://www.cobourg.ca/media/f12f5iia/request-form-for-closed-meeting-investigation.pdf
COCHRANE TP,COCHRANE TP,2026-04-27,scanned_pdf,,https://www.cochrane.ca/sites/default/files/2026-04/Regular%20Council%20Meeting%20Highlights%20-%20April%2020%2C%202026.pdf
COCKBURN ISLAND TP,COCKBURN ISLAND TP,2026-04-27,scanned_pdf,,https://cockburnisland.ca/docs/2025/FinancialStatement-2023.pdf
COLEMAN TP,COLEMAN TP,2026-04-27,no_url_in_registry,,
COLLINGWOOD TP,COLLINGWOOD TP,2026-04-27,scanned_pdf,,https://pub-collingwood.escribemeetings.com/FileStream.ashx?DocumentId=9144
CONMEE TP,CONMEE TP,2026-04-27,scanned_pdf,,https://www.conmee.com/Home/DownloadMeeting/4e6f90ea-8148-4c80-b8c9-47b8baab6c50?isEnglish=True
CORNWALL C,CORNWALL C,2026-04-27,scanned_pdf,,https://choosecornwall.ca/wp-content/uploads/2018/06/Cornwall-Business-Directory.pdf
CRAMAHE TP,CRAMAHE TP,2026-04-27,scanned_pdf,,https://pub-cramahe.escribemeetings.com/FileStream.ashx?DocumentId=33025
DAWN EUPHEMIA TP,DAWN EUPHEMIA TP,2026-04-27,scanned_pdf,,https://dawneuphemia.ca/wp-content/uploads/2025/10/Council-Meetings-2026.pdf
DAWSON TP,DAWSON TP,2026-04-27,scanned_pdf,,https://www.dawsontownship.ca/wp-content/uploads/2023/02/dawson_council_minutes_may_2_2012-1.pdf
DEEP RIVER TP,DEEP RIVER TP,2026-04-27,scanned_html,,https://deepriver.civicweb.net/Portal/
DESERONTO TP,DESERONTO TP,2026-04-27,scanned_pdf,,https://www.deseronto.ca/s/Minutes-November-22-2023.pdf
DORION TP,DORION TP,2026-04-27,scanned_pdf,,https://doriontownship.ca/application/files/4517/6460/6066/AGENDA_-18-NOVEMBER-2025.pdf
DOURO DUMMER TP,DOURO DUMMER TP,2026-04-27,scanned_pdf,,https://pub-douro-dummer.escribemeetings.com/FileStream.ashx?DocumentId=22799
DRUMMOND NORTH ELMSLEY TP,DRUMMOND NORTH ELMSLEY TP,2026-04-27,scanned_pdf,,https://drummondnorthelmsley.civicweb.net/filepro/document/66105/26-01-13 - Committee of the Whole Minutes (1).pdf
DRYDEN C,DRYDEN C,2026-04-27,scanned_pdf,,https://www.dryden.ca/media/fpnhiefz/closed-meeting-investigator-report-october-2018.pdf
DUBREUILVILLE TP,DUBREUILVILLE TP,2026-04-27,scanned_pdf,,https://dubreuilville.ca/wp-content/uploads/2026/04/2026-01-14-Minutes-1.pdf
DUTTON DUNWICH M,DUTTON DUNWICH M,2026-04-27,scanned_pdf,,https://www.duttondunwich.on.ca/public/download/files/270264
DYSART ET AL M,DYSART ET AL M,2026-04-27,scanned_html,,https://dysartetal.civicweb.net/Portal/
EAR FALLS TP,EAR FALLS TP,2026-04-27,scanned_pdf,,https://ear-falls.com/wp-content/uploads/2026/04/April-15-2026-Agenda-Proposed-Motions.pdf
EAST FERRIS M,EAST FERRIS M,2026-04-27,error,"HTTPSConnectionPool(host='stclair.civicweb.net', port=443): Max retries exceeded with url: /Portal/ (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001B2DC286950>: Failed to resolve 'stclair.civicweb.net' ([Errno 11001] getaddrinfo failed)""))",https://stclair.civicweb.net/Portal/
EAST GARAFRAXA TP,EAST GARAFRAXA TP,2026-04-27,error,"HTTPSConnectionPool(host='stclair.civicweb.net', port=443): Max retries exceeded with url: /Portal/ (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001B29169B0D0>: Failed to resolve 'stclair.civicweb.net' ([Errno 11001] getaddrinfo failed)""))",https://stclair.civicweb.net/Portal/
EAST GWILLIMBURY TP,EAST GWILLIMBURY TP,2026-04-27,scanned_pdf,,https://www.eastgwillimbury.ca/en/By-law-and-Parking/Boulevard-Bylaw-By-Law-2016-119.pdf
EAST HAWKESBURY TP,EAST HAWKESBURY TP,2026-04-27,error,"HTTPSConnectionPool(host='stclair.civicweb.net', port=443): Max retries exceeded with url: /Portal/ (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001B2916985D0>: Failed to resolve 'stclair.civicweb.net' ([Errno 11001] getaddrinfo failed)""))",https://stclair.civicweb.net/Portal/
EAST ZORRA TAVISTOCK TP,EAST ZORRA TAVISTOCK TP,2026-04-27,error,"HTTPSConnectionPool(host='stclair.civicweb.net', port=443): Max retries exceeded with url: /Portal/ (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001B1C7DD5010>: Failed to resolve 'stclair.civicweb.net' ([Errno 11001] getaddrinfo failed)""))",https://stclair.civicweb.net/Portal/
EDWARDSBURGH CARDINAL TP,EDWARDSBURGH CARDINAL TP,2026-04-27,scanned_pdf,,https://pub-twpec.escribemeetings.com/FileStream.ashx?DocumentId=21037
ELIZABETHTOWN KITLEY TP,ELIZABETHTOWN KITLEY TP,2026-04-27,scanned_html,,https://elizabethtownkitley.civicweb.net/Portal/
ELLIOT LAKE C,ELLIOT LAKE C,2026-04-27,scanned_html,,https://www.elliotlake.ca/en/city-hall/agendas-and-minutes.aspx
EMO TP,EMO TP,2026-04-27,scanned_pdf,,https://emo.ca/wp-content/uploads/2025/06/11-June-11-2025-Regular-Council-Meeting-Agenda.pdf
ENGLEHART TP,ENGLEHART TP,2026-04-27,scanned_html,,https://englehart.civicweb.net/Portal/
ENNISKILLEN TP,ENNISKILLEN TP,2026-04-27,scanned_pdf,,https://www.enniskillen.ca/wp-content/uploads/2026/04/Agenda-Council-April-7-2026.pdf
ERIN TP,ERIN TP,2026-04-27,scanned_pdf,,https://pub-erin.escribemeetings.com/FileStream.ashx?DocumentId=18736
ESPANOLA TP,ESPANOLA TP,2026-04-27,scanned_pdf,,https://pub-espanola.escribemeetings.com/filestream.ashx?DocumentId=12018
ESSA TP,ESSA TP,2026-04-27,scanned_pdf,,https://calendar.essatownship.on.ca/default/Download?StartDate=04/01/2026&EndDate=04/30/2026
ESSEX TP,ESSEX TP,2026-04-27,scanned_pdf,,https://townofessex-pub.escribemeetings.com/FileStream.ashx?DocumentId=27309
EVANTUREL TP,EVANTUREL TP,2026-04-27,scanned_html,,https://evanturel.com/council/minutes-agendas/
FARADAY TP,FARADAY TP,2026-04-27,scanned_html,,https://faraday.civicweb.net/Portal/
FAUQUIER STRICKLAND TP,FAUQUIER STRICKLAND TP,2026-04-27,error,"HTTPSConnectionPool(host='stclair.civicweb.net', port=443): Max retries exceeded with url: /Portal/ (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001B2BAB919D0>: Failed to resolve 'stclair.civicweb.net' ([Errno 11001] getaddrinfo failed)""))",https://stclair.civicweb.net/Portal/
FORT ERIE TP,FORT ERIE TP,2026-04-27,scanned_pdf,,https://pub-forterie.escribemeetings.com/FileStream.ashx?DocumentId=35497
FORT FRANCES TP,FORT FRANCES TP,2026-04-27,scanned_html,,https://fortfrances.civicweb.net/Portal/
FRENCH RIVER M,FRENCH RIVER M,2026-04-27,scanned_html,,https://frenchriver.civicweb.net/Portal/
FRONT OF YONGE TP,FRONT OF YONGE TP,2026-04-27,scanned_html,,https://zhidao.baidu.com/question/765412751504246844.html
FRONTENAC ISLANDS TP,FRONTENAC ISLANDS TP,2026-04-27,scanned_pdf,,https://frontenac.civicweb.net/FileStorage/60B9219B5EF1457E988EE5D7893B80D6-June%2012%20Meeting%20Minutes.pdf
GANANOQUE TP,GANANOQUE TP,2026-04-27,scanned_pdf,,https://s3.ca-central-1.amazonaws.com/gananoque.ca/s3fs-public/meetings/agendas/Agenda-Council-11-With Paperclips-22Apr2026_0.pdf
GAUTHIER TP,GAUTHIER TP,2026-04-27,scanned_pdf,,https://www.gauthierchrysler.com/GAUTHIER-2023-FORCED-LABOUR-AND-CHILD-LABOUR.pdf
GEORGIAN BAY TP,Georgian Bay,2026-04-27,scanned_pdf,,https://georgianbay.civicweb.net/document/238947
GEORGIAN BLUFFS TP,Georgian Bluffs,2026-04-27,scanned_html,,https://pub-georgianbluffs.escribemeetings.com/
GEORGINA T,Georgina,2026-04-27,scanned_pdf,,https://www.georgina.ca/sites/default/files/2026-01/2026-council-meeting-calendar-jan2026.pdf
GILLIES TP,Gillies,2026-04-27,scanned_html,,https://www.gilliestownship.com/en/our-government/agendas-and-minutes.aspx
GODERICH T,Goderich,2026-04-27,scanned_pdf,,https://pub-goderich.escribemeetings.com/FileStream.ashx?DocumentId=60501
GORDON/BARRIE ISLAND M,Gordon/Barrie Island,2026-04-27,scanned_html,,https://www.gordonbarrieisland.ca/app/download/20089563825/Minutes+of+Council+Meeting+January+13+2026.docx?t=1771423303
GORE BAY T,Gore Bay,2026-04-27,scanned_html,,https://gorebay.civicweb.net/Portal/
GRAND VALLEY T,Grand Valley,2026-04-27,scanned_pdf,,https://www.townofgrandvalley.ca/media/kj3jlfeb/2024-10-procedural-by-law.pdf
GRAVENHURST T,Gravenhurst,2026-04-27,error,"HTTPSConnectionPool(host='stclair.civicweb.net', port=443): Max retries exceeded with url: /Portal/ (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001B1C0605210>: Failed to resolve 'stclair.civicweb.net' ([Errno 11001] getaddrinfo failed)""))",https://stclair.civicweb.net/Portal/
GREATER MADAWASKA TP,Greater Madawaska,2026-04-27,error,404 Client Error: Not Found for url: https://www.greatermadawaska.com/en/township-office/resources/Mayor-and-Council/Delegation-Information-Sheet-and-Request-Form.pdf,https://www.greatermadawaska.com/en/township-office/resources/Mayor-and-Council/Delegation-Information-Sheet-and-Request-Form.pdf
GREATER NAPANEE T,Greater Napanee,2026-04-27,scanned_pdf,,https://greaternapanee.civicweb.net/document/229941
GREATER SUDBURY C,Greater Sudbury,2026-04-27,scanned_pdf,,https://pub-greatersudbury.escribemeetings.com/FileStream.ashx?DocumentId=60165
GREENSTONE M,Greenstone,2026-04-27,scanned_pdf,,https://greenstone.civicweb.net/document/44644/By-Law%2020-09%20Appoint%20LAS%20Closed%20Meeting%20Investigator.pdf
GREY HIGHLANDS M,Grey Highlands,2026-04-27,scanned_pdf,,https://greyhighlands.civicweb.net/document/340085
GRIMSBY T,Grimsby,2026-04-27,scanned_html,,https://pub-grimsby.escribemeetings.com/
GUELPH C,Guelph,2026-04-27,scanned_html,,https://pub-guelph.escribemeetings.com/
GUELPH/ERAMOSA TP,Guelph/Eramosa,2026-04-27,error,404 Client Error: Not Found for url: https://www.get.on.ca/township-services/council/agendas-and-minutes,https://www.get.on.ca/township-services/council/agendas-and-minutes
HALDIMAND COUNTY,Haldimand County,2026-04-27,scanned_html,,https://pub-haldimandcounty.escribemeetings.com/
HALTON HILLS T,Halton Hills,2026-04-27,scanned_pdf,,https://haltonhills.ic12.esolg.ca/en/resourcesGeneral/Documents/PDF-Forms/WitnessStatementForm.pdf
HAMILTON C,Hamilton,2026-04-27,scanned_html,,https://pub-milton.escribemeetings.com/
HAMILTON TP,Hamilton,2026-04-27,scanned_html,,https://hamilton.civicweb.net/Portal/
HANOVER T,Hanover,2026-04-27,scanned_pdf,,https://pub-hanover.escribemeetings.com:443/FileStream.ashx?DocumentId=6270
HARLEY TP,Harley,2026-04-27,scanned_pdf,,https://harley.ca/wp-content/uploads/2024/01/December-12-2023.pdf
HARRIS TP,Harris,2026-04-27,scanned_pdf,,https://haliburton.civicweb.net/filepro/document/399376/BYLAW%204006%20Procedural%20Bylaw.pdf
HASTINGS HIGHLANDS M,Hastings Highlands,2026-04-27,error,"HTTPSConnectionPool(host='stclair.civicweb.net', port=443): Max retries exceeded with url: /Portal/ (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001B28EA67410>: Failed to resolve 'stclair.civicweb.net' ([Errno 11001] getaddrinfo failed)""))",https://stclair.civicweb.net/Portal/
HAVELOCK BELMONT METHUEN TP,HAVELOCK BELMONT METHUEN,2026-04-27,scanned_pdf,,https://www.hbmtwp.ca/media/id3jvbyv/privacy-policy-township-of-hbm.pdf
HAWKESBURY T,HAWKESBURY,2026-04-27,scanned_pdf,,https://pub-hawkesbury.escribemeetings.com/FileStream.ashx?DocumentId=669
HEAD CLARA AND MARIA TP,HEAD CLARA AND MARIA,2026-04-27,scanned_pdf,,https://townshipsofheadclaramaria.ca/userfiles/file/Committee%20of%20the%20Whole%20Terms%20of%20Reference%20-%20Final.pdf
HEARST T,HEARST,2026-04-27,error,"HTTPSConnectionPool(host='stclair.civicweb.net', port=443): Max retries exceeded with url: /Portal/ (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001B295C46550>: Failed to resolve 'stclair.civicweb.net' ([Errno 11001] getaddrinfo failed)""))",https://stclair.civicweb.net/Portal/
HIGHLANDS EAST M,HIGHLANDS EAST,2026-04-27,error,"HTTPSConnectionPool(host='stclair.civicweb.net', port=443): Max retries exceeded with url: /Portal/ (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001B296B0EFD0>: Failed to resolve 'stclair.civicweb.net' ([Errno 11001] getaddrinfo failed)""))",https://stclair.civicweb.net/Portal/
HILLIARD TP,HILLIARD,2026-04-27,scanned_html,,https://www.hilliardcorp.com/
HILTON BEACH V,HILTON BEACH,2026-04-27,error,"HTTPSConnectionPool(host='hiltonbeach.com', port=443): Read timed out. (read timeout=15)",https://hiltonbeach.com/wp-content/uploads/sites/3/2026/03/Agenda-March-11-2026.pdf
HILTON TP,HILTON,2026-04-27,scanned_pdf,,https://www.hiltontownship.ca/wp-content/uploads/2025/12/December-10-2025-Agenda-Package.pdf
HORNEPAYNE TP,HORNEPAYNE,2026-04-27,scanned_pdf,,https://www.hornepayne.ca/media/ve5bhply/deputation-presentation-request-form.pdf
HORTON TP,HORTON,2026-04-27,scanned_pdf,,https://www.sdgcounties.ca/sites/default/files/2026-04/5-Minute%20Gazette%20-%20April%2020%20%281%29.pdf
HOWICK TP,HOWICK,2026-04-27,scanned_pdf,,https://howick.nyc3.cdn.digitaloceanspaces.com/Agendas-Minutes/April-21-2026-Council-Agenda-Package-Compressed_2026-04-21-181945_jfpk.pdf
]HUDSON TP,HUDSON,2026-04-27,scanned_html,,https://hudson.civicweb.net/Portal/
HUNTSVILLE T,HUNTSVILLE,2026-04-27,scanned_html,,https://events.huntsville.ca/meetings
]HURON EAST M,HURON EAST,2026-04-27,scanned_pdf,,https://www.huroneast.com/media/vgznze4g/2025-meeting-calendar.pdf
HURON KINLOSS TP,HURON KINLOSS,2026-04-27,scanned_pdf,,https://www.mpac.ca/sites/default/files/docs/pdf/2024-PerformanceReport.pdf
