munid,name,scan_date,status,error,target_url
ADDINGTON HIGHLANDS TP,ADDINGTON HIGHLANDS,2026-04-27,scanned_pdf,,https://addingtonhighlands.civicweb.net/document/79653
ADELAIDE METCALFE TP,ADELAIDE METCALFE,2026-04-27,scanned_pdf,,https://www.adelaidemetcalfe.on.ca/sites/default/files/2025-08/Venfor%20-%20Minutes%20-%20June%2016%202025.pdf
ADJALA TOSORONTIO TP,ADJALA TOSORONTIO,2026-04-27,scanned_pdf,,https://adjala-tosorontio.civicweb.net/document/62292/
ADMASTON BROMLEY TP,ADMASTON BROMLEY,2026-04-27,scanned_pdf,,https://admastonbromley.com/wp-content/uploads/2025/12/2026-01-05-Resume-Planning-Committee-Agenda-Complete-Agenda-Reduced.pdf
AJAX TP,AJAX,2026-04-27,scanned_pdf,,https://www.ajax.ca/en/inside-townhall/resources/Meeting-Schedule/2026-Meeting-Schedule.pdf
ALBERTON TP,ALBERTON,2026-04-27,scanned_pdf,,https://alberton.ca/wp-content/uploads/2026/04/April-16-2026-Agenda.pdf
ALFRED AND PLANTAGENET TP,ALFRED AND PLANTAGENET,2026-04-27,scanned_pdf,,https://pub-alfred-plantagenet.escribemeetings.com:443/FileStream.ashx?DocumentId=4152
ALGONQUIN HIGHLANDS TP,ALGONQUIN HIGHLANDS,2026-04-27,scanned_pdf,,https://www.algonquinhighlands.ca/media/yaeoxiyt/2020-03_sewage_system_permit_application_package-acc.pdf
ALNWICK HALDIMAND TP,ALNWICK HALDIMAND,2026-04-27,scanned_html,,https://alnwickhaldimand.civicweb.net/Portal/
AMARANTH TP,AMARANTH,2026-04-27,scanned_pdf,,https://www.amo.on.ca/sites/default/files/assets/DOCUMENTS/Pre-Budget%20Submissions/2024/Pre-Budget_Submission_V7.pdf
AMHERSTBURG TP,AMHERSTBURG,2026-04-27,scanned_pdf,,https://www.amherstburg.ca/media/nz3bzt3n/2023-12-05-delegation-request-form-revised-rm.pdf
ARMOUR TP,ARMOUR,2026-04-27,scanned_pdf,,https://irp.cdn-website.com/20e551fd/files/uploaded/1.+January+13+2026+Council+Agenda+Package-01f1d036.pdf
ARMSTRONG TP,ARMSTRONG,2026-04-27,error,"HTTPSConnectionPool(host='stclair.civicweb.net', port=443): Max retries exceeded with url: /Portal/ (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001B1BCE7AE90>: Failed to resolve 'stclair.civicweb.net' ([Errno 11001] getaddrinfo failed)""))",https://stclair.civicweb.net/Portal/
ARNPRIOR TP,ARNPRIOR,2026-04-27,scanned_pdf,,https://calendar.arnprior.ca/default/Download?_mid_=10085&StartDate=04/01/2026&EndDate=04/30/2026
ARRAN ELDERSLIE M,ARRAN ELDERSLIE,2026-04-27,scanned_html,,https://pub-arranelderslie.escribemeetings.com/
ASHFIELD COLBORNE WAWANOSH TP,ASHFIELD COLBORNE WAWANOSH,2026-04-27,scanned_html,,https://mail.google.com/mail
ASPHODEL NORWOOD TP,ASPHODEL NORWOOD,2026-04-27,scanned_pdf,,https://www.antownship.ca/media/lmkhfsi0/2026-council-meeting-and-office-closure-calendar.pdf
ASSIGINACK TP,ASSIGINACK,2026-04-27,scanned_html,,https://pub-assiginack.escribemeetings.com/
ATHENS TP,ATHENS,2026-04-27,scanned_pdf,,https://athenstownship.ca/wp-content/uploads/2026/04/2026-Candidates-Guide.pdf
ATIKOKAN TP,ATIKOKAN,2026-04-27,scanned_html,,https://atikokan.civicweb.net/Portal/
AUGUSTA TP,AUGUSTA,2026-04-27,scanned_pdf,,https://augusta.ca/wp-content/uploads/2025-09-08-EDTAC-Agenda-1.pdf
AURORA TP,AURORA,2026-04-27,scanned_pdf,,https://calendar.aurora.ca/default/Download?StartDate=04/01/2026&EndDate=04/30/2026
AYLMER TP,AYLMER,2026-04-27,scanned_html,,https://aylmer.civicweb.net/Portal/
BALDWIN TP,BALDWIN,2026-04-27,scanned_pdf,,https://baldwin.ca/wp-content/uploads/2025/12/2025-003-Hall-Rental-Agreement-Form-With-Pricing.pdf
BANCROFT TP,BANCROFT,2026-04-27,scanned_pdf,,https://www.bancroft.ca/UserFiles/Servers/Server_12235685/Image/Business/Clerk/2025-83 SCHEDULE OF FEES (002).pdf
BARRIE C,BARRIE,2026-04-27,scanned_html,,https://barrie.legistar.com/View.ashx?M=IC&ID=1408065&GUID=3811EE4B-BDA0-49C7-B11E-35E21591F7FB
BAYHAM M,BAYHAM,2026-04-27,scanned_html,,https://laserfiche.bayham.on.ca/WebLink/ElectronicFile.aspx?id=471778&dbid=0&repo=BAYHAM
BECKWITH TP,BECKWITH,2026-04-27,scanned_html,,https://beckwith.civicweb.net/Portal/
BELLEVILLE C,BELLEVILLE,2026-04-27,scanned_pdf,,https://citybellevilleon.civicweb.net/document/92907
BILLINGS TP,BILLINGS,2026-04-27,no_url_in_registry,,
BLACK RIVER MATHESON TP,BLACK RIVER MATHESON,2026-04-27,scanned_pdf,,https://events.twpbrm.ca/default/Download?StartDate=04/01/2026&EndDate=04/30/2026
BLANDFORD BLENHEIM TP,BLANDFORD BLENHEIM,2026-04-27,scanned_pdf,,https://pub-blandfordblenheim.escribemeetings.com/FileStream.ashx?DocumentId=1186
BLIND RIVER T,BLIND RIVER,2026-04-27,scanned_pdf,,https://www.blindriver.ca/media/xmfnhphh/municipal-freedom.pdf
BLUEWATER M,BLUEWATER,2026-04-27,scanned_html,,https://bluewater.civicweb.net/Portal/
BONFIELD TP,BONFIELD,2026-04-27,scanned_pdf,,http://events.bonfieldtownship.com/FileManager/Township%20of%20Bonfield/6311d0ad-786e-4d96-abd8-b427015270f5/Content/Full Agenda 2026.04.14.pdf
BONNECHERE VALLEY TP,BONNECHERE VALLEY,2026-04-27,scanned_pdf,,https://www.bonnecherevalleytwp.com/download.php?dl=YToyOntzOjI6ImlkIjtzOjQ6IjM4MTYiO3M6Mzoia2V5IjtpOjc7fQ==
BRACEBRIDGE TP,BRACEBRIDGE,2026-04-27,scanned_html,,https://bracebridge.civicweb.net/Portal/
BRADFORD WEST GWILLIMBURY TP,BRADFORD WEST GWILLIMBURY,2026-04-27,error,"HTTPSConnectionPool(host='westgrey.civicweb.net', port=443): Max retries exceeded with url: /Portal/ (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001B2D7118290>: Failed to resolve 'westgrey.civicweb.net' ([Errno 11001] getaddrinfo failed)""))",https://westgrey.civicweb.net/Portal/
BRAMPTON C,BRAMPTON,2026-04-27,scanned_pdf,,https://pub-brampton.escribemeetings.com/FileStream.ashx?DocumentId=165373
BRANT,BRANT,2026-04-27,scanned_pdf,,https://pub-brant.escribemeetings.com/FileStream.ashx?DocumentId=75180
BRANTFORD C,BRANTFORD,2026-04-27,scanned_pdf,,https://pub-qa-next.escribemeetings.com/FileStream.ashx?DocumentId=28330
BRETHOUR TP,BRETHOUR,2026-04-27,scanned_html,,https://sports-inter.com/
BRIGHTON M,BRIGHTON,2026-04-27,scanned_pdf,,https://brighton.civicweb.net/document/177260/2025%20Council%20and%20Planning%20Mtg%20Schedule.pdf
BROCK TP,BROCK,2026-04-27,scanned_html,,https://pub-townshipofbrock.escribemeetings.com/Meeting.aspx?Agenda=PostMinutes&Id=7a8e1196-1c9f-4a9a-a3ba-239b4849de51&lang=English
BROCKTON M,BROCKTON,2026-04-27,scanned_html,,https://pub-brockton.escribemeetings.com/
BROCKVILLE C,BROCKVILLE,2026-04-27,scanned_html,,https://brockville.civicweb.net/Portal/
BROOKE ALVINSTON M,BROOKE ALVINSTON,2026-04-27,scanned_pdf,,https://brookealvinston.com/wp-content/uploads/2025/12/Regular-December-11-2025.pdf
BRUCE MINES T,BRUCE MINES,2026-04-27,scanned_pdf,,https://brucemines.ca/documents/assets/uploads/files/en/april_13_2026__addendum.pdf
BRUDENELL LYNDOCH AND RAGLAN TP,BRUDENELL LYNDOCH AND RAGLAN,2026-04-27,scanned_pdf,,https://blrtownship.ca/wp-content/uploads/2026/04/April-9th-2026-Special-Meeting.pdf
